Sources	BLS10_2.fastq	BLS10_7.fastq	BLS10_m1.fastq	BLS11_2.fastq	BLS11_7.fastq	BLS11_m1.fastq	BLS12_2.fastq	BLS12_7.fastq	BLS12_m1.fastq	BLS13_2.fastq	BLS13_7.fastq	BLS13_m1.fastq	BLS1_2.fastq	BLS1_7.fastq	BLS1_m1.fastq	BLS2_2.fastq	BLS2_7.fastq	BLS2_m1.fastq	BLS3_2.fastq	BLS3_7.fastq	BLS3_m1.fastq	BLS4_2.fastq	BLS4_7.fastq	BLS4_m1.fastq	BLS5_2.fastq	BLS5_7.fastq	BLS5_m1.fastq	BLS6_2.fastq	BLS6_7.fastq	BLS6_m1.fastq	BLS7_2.fastq	BLS7_7.fastq	BLS7_m1.fastq	BLS8_2.fastq	BLS8_7.fastq	BLS8_m1.fastq	BLS9_2.fastq	BLS9_7.fastq	BLS9_m1.fastq	BSN10_2.fastq	BSN10_7.fastq	BSN10_m1.fastq	BSN11_2.fastq	BSN11_7.fastq	BSN11_m1.fastq	BSN12_2.fastq	BSN12_7.fastq	BSN12_m1.fastq	BSN13_2.fastq	BSN13_7.fastq	BSN13_m1.fastq	BSN1_2.fastq	BSN1_7.fastq	BSN1_m1.fastq	BSN2_2.fastq	BSN2_7.fastq	BSN2_m1.fastq	BSN3_2.fastq	BSN3_7.fastq	BSN3_m1.fastq	BSN4_2.fastq	BSN4_7.fastq	BSN4_m1.fastq	BSN5_2.fastq	BSN5_7.fastq	BSN5_m1.fastq	BSN6_2.fastq	BSN6_7.fastq	BSN6_m1.fastq	BSN7_2.fastq	BSN7_7.fastq	BSN7_m1.fastq	BSN8_2.fastq	BSN8_7.fastq	BSN8_m1.fastq	BSN9_2.fastq	BSN9_7.fastq	BSN9_m1.fastq	INF1.fastq	INF10.fastq	INF2.fastq	INF3.fastq	INF4.fastq	INF5.fastq	INF6.fastq	INF7.fastq	INF8.fastq	INF9.fastq	X3_STUF.fastq	X4_STUF.fastq	X5_STRA.fastq	X6_STRA.fastq
BLS10_2.fastq	-0	0.18034111	0.1880311	0.15110798	0.19756284	0.18572615	0.16016784	0.24474649	0.19578771	0.18137197	0.2099802	0.17830677	0.20250739	0.16611497	0.1667475	0.1736803	0.19035746	0.16481963	0.19318917	0.23866807	0.19136925	0.21734518	0.18407439	0.16794068	0.19956264	0.1975186	0.21270233	0.20520969	0.19591655	0.16647562	0.1582476	0.19022146	0.20244306	0.15948763	0.1748889	0.16859515	0.1615222	0.16630514	0.19201195	0.16294199	0.1982835	0.2008617	0.15659241	0.1971578	0.18505932	0.20935027	0.17636572	0.15630706	0.18576439	0.19111465	0.15472358	0.19788748	0.17126058	0.167431	0.18694545	0.15166312	0.15597667	0.2047292	0.17564297	0.17459232	0.18641329	0.17989798	0.18497653	0.22382584	0.17562702	0.19806194	0.18060958	0.17491445	0.18845397	0.18891864	0.20035298	0.18900183	0.19305098	0.19584832	0.20620646	0.15750505	0.20387496	0.19046836	0.27145502	0.21355009	0.24391015	0.21416435	0.24248311	0.22671404	0.23067945	0.24569282	0.232228	0.21582545	0.19592571	0.20142798	0.20445007	0.2157714
BLS10_7.fastq	0.18034111	-0	0.21846278	0.196885	0.18259294	0.17992963	0.18802133	0.24936695	0.19209135	0.21419299	0.1855999	0.17415465	0.19411601	0.18049826	0.16455398	0.16795899	0.19238405	0.18660289	0.19722886	0.19090977	0.18186025	0.18749523	0.1594317	0.17048468	0.19740544	0.18977658	0.170853	0.18024683	0.18887779	0.17331351	0.18823873	0.22408141	0.13903227	0.17163758	0.16838245	0.17294168	0.17917655	0.15729494	0.17717385	0.17564608	0.1815737	0.1864294	0.162103	0.16702288	0.1949186	0.21524042	0.19778493	0.1762406	0.21251212	0.17956366	0.16458507	0.19525869	0.15700355	0.16699713	0.16319396	0.1700065	0.17576379	0.21380818	0.13862683	0.19676591	0.16964145	0.18714078	0.20221893	0.16635308	0.17689884	0.17797732	0.1765394	0.195426	0.1860129	0.16774006	0.17442542	0.19724274	0.16843465	0.17300758	0.18434177	0.16242218	0.19806685	0.19507602	0.23475407	0.21824963	0.25054318	0.25168625	0.20301682	0.20472427	0.20179427	0.18536235	0.24984074	0.24185318	0.20220071	0.20303345	0.2195832	0.23156887
BLS10_m1.fastq	0.1880311	0.21846278	-0	0.1928516	0.18341324	0.19717512	0.1799773	0.18099533	0.2142518	0.14995515	0.19938637	0.21212403	0.19125953	0.19911802	0.16441588	0.19204037	0.19792071	0.17032105	0.20338023	0.20947947	0.18017527	0.18213472	0.21835811	0.20396787	0.16373433	0.18851545	0.16389918	0.18356065	0.18921718	0.16497092	0.17128786	0.18731497	0.16463725	0.1800207	0.18160865	0.13686195	0.18823577	0.1881542	0.13978906	0.18715537	0.23077516	0.1602336	0.16197562	0.19726488	0.18365012	0.19460483	0.20389576	0.18696374	0.2070745	0.205402	0.17905676	0.2093111	0.18192083	0.13843514	0.2058598	0.16897956	0.14811993	0.2245035	0.15747397	0.19381034	0.20319383	0.17793778	0.17143317	0.17632675	0.19396242	0.21332979	0.1834754	0.22588623	0.19555998	0.20165612	0.19440039	0.20224021	0.18310279	0.20514527	0.17998135	0.19197914	0.20208852	0.19233707	0.31258163	0.2040793	0.2033503	0.24062243	0.22734198	0.19540346	0.20609258	0.2619642	0.2452855	0.22344379	0.18085502	0.19127575	0.24117419	0.27162033
BLS11_2.fastq	0.15110798	0.196885	0.1928516	-0	0.20459369	0.19760011	0.16301055	0.23335162	0.1942846	0.1805318	0.22899312	0.17488435	0.21730794	0.20030712	0.19351526	0.19223662	0.18462722	0.14547798	0.18580756	0.22382881	0.15408503	0.20050533	0.20945853	0.18133041	0.22175713	0.20344487	0.22115709	0.200819	0.1984448	0.16614315	0.18008682	0.20900139	0.22335485	0.17765191	0.17486379	0.16876754	0.16636619	0.16793579	0.20741133	0.18084563	0.2087715	0.201924	0.1883261	0.18809374	0.18369138	0.2059194	0.18309999	0.15980794	0.17925732	0.192371	0.18564525	0.20019326	0.16641603	0.17837574	0.1973179	0.17012295	0.16791435	0.18973155	0.17478923	0.18597466	0.18656768	0.17684217	0.18364158	0.19252016	0.18055685	0.1914391	0.18211329	0.19603878	0.18348445	0.1938646	0.20078313	0.19828843	0.18836592	0.17282066	0.18465656	0.1723771	0.19704288	0.18548737	0.24785005	0.20820357	0.24816884	0.23848024	0.22958691	0.22821084	0.22989035	0.24869585	0.22814621	0.25355655	0.1959107	0.19982018	0.21006797	0.23186241
BLS11_7.fastq	0.19756284	0.18259294	0.18341324	0.20459369	-0	0.21200782	0.21329406	0.16855584	0.21200919	0.18380749	0.16273807	0.19160403	0.17662911	0.20753774	0.18568552	0.2078427	0.17771073	0.21236534	0.19645911	0.16734649	0.18825841	0.17202738	0.19872667	0.2167568	0.1694956	0.19444372	0.16177471	0.16714633	0.20672074	0.17367488	0.18780054	0.18658575	0.18416038	0.18712208	0.23207666	0.15081836	0.1838275	0.16795236	0.1594543	0.16251968	0.22468507	0.16667365	0.17082818	0.20016378	0.18952979	0.1787047	0.19380371	0.18806861	0.2056997	0.19970568	0.17214148	0.2190322	0.20110932	0.16605358	0.17236468	0.18203908	0.18446405	0.19864725	0.19181596	0.18854524	0.17460327	0.17180789	0.20081317	0.17282148	0.20871134	0.18421069	0.17790708	0.19582257	0.19513856	0.19691119	0.20934711	0.2076215	0.18561348	0.16949944	0.19756679	0.19557975	0.18897597	0.18626857	0.22250994	0.21644334	0.22196496	0.26412004	0.23813717	0.19721021	0.19237435	0.24288851	0.23186623	0.24126595	0.24198863	0.25196248	0.23201019	0.25853533
BLS11_m1.fastq	0.18572615	0.17992963	0.19717512	0.19760011	0.21200782	-0	0.20644177	0.23845685	0.17302556	0.20812194	0.21132998	0.18114598	0.18067588	0.18729267	0.17877328	0.17392312	0.16642252	0.19249281	0.19316126	0.2143838	0.20574148	0.21678466	0.19707783	0.190748	0.18248855	0.18485259	0.21672024	0.1903102	0.19157381	0.17870787	0.19453734	0.19010793	0.20554264	0.18599024	0.19516946	0.19687684	0.19289517	0.17796326	0.19558759	0.18761437	0.19797038	0.21620087	0.16749027	0.20190492	0.1995673	0.22937796	0.17749865	0.19073454	0.20741491	0.17721502	0.17813791	0.17659919	0.18474147	0.18518378	0.20136824	0.18280444	0.19229202	0.17718223	0.18920298	0.17726208	0.1727732	0.18397053	0.15592904	0.17786287	0.16584837	0.17336364	0.17236748	0.18096444	0.17767386	0.18648651	0.13460746	0.18621184	0.20830314	0.1651421	0.18487385	0.19088982	0.1851191	0.18159798	0.26299238	0.21634033	0.2534	0.22105241	0.23531505	0.2531752	0.23751625	0.21487747	0.25574666	0.2009882	0.1926181	0.2062403	0.21993153	0.23013759
BLS12_2.fastq	0.16016784	0.18802133	0.1799773	0.16301055	0.21329406	0.20644177	-0	0.21014692	0.2008855	0.16702119	0.21593304	0.19984181	0.19579642	0.18601932	0.17684034	0.1592788	0.22351238	0.16118792	0.19621062	0.19787022	0.15780464	0.18145156	0.18260643	0.169236	0.20355819	0.18026014	0.19257641	0.19653925	0.19324394	0.16534685	0.18592699	0.18976386	0.1827513	0.1871525	0.17584422	0.16278525	0.16958798	0.18100633	0.1922842	0.17879553	0.19369198	0.18133809	0.15532604	0.19075687	0.18975216	0.19920737	0.18051915	0.16202039	0.1682232	0.19284895	0.16471222	0.1846592	0.17389539	0.15993743	0.20754074	0.15532582	0.16051525	0.17299718	0.16368254	0.17300758	0.18479359	0.1906623	0.19967431	0.2138743	0.16491787	0.19999601	0.19722192	0.17986485	0.18191005	0.19581966	0.19331223	0.17724927	0.19243297	0.18961014	0.19129017	0.17005321	0.21061087	0.1735652	0.23996371	0.21609081	0.24165797	0.23291793	0.23659793	0.19454691	0.19559912	0.22695655	0.2313292	0.23432867	0.1804627	0.18663345	0.21036598	0.23071747
BLS12_7.fastq	0.24474649	0.24936695	0.18099533	0.23335162	0.16855584	0.23845685	0.21014692	-0	0.21309537	0.17473747	0.14971411	0.22662532	0.16613276	0.20439745	0.17538752	0.2003286	0.20246245	0.217793	0.25289822	0.19322899	0.21632777	0.1892138	0.20115437	0.21652617	0.2220567	0.2225204	0.1540503	0.17830172	0.17592597	0.18033957	0.22101244	0.15999399	0.17413096	0.21451709	0.22749147	0.18995532	0.20313542	0.19820471	0.16936773	0.18102126	0.2282756	0.14480117	0.2042871	0.19560367	0.18000776	0.15219082	0.22652932	0.2594912	0.21686277	0.22049469	0.19237882	0.21513435	0.22174598	0.18926185	0.23153363	0.22315049	0.19974926	0.20510703	0.20855126	0.19850342	0.19660683	0.17572665	0.19993934	0.19365354	0.20456807	0.20441751	0.19269374	0.22896986	0.22449541	0.2110836	0.22190423	0.21302374	0.195313	0.22258419	0.19136527	0.23684175	0.20824079	0.20127268	0.2826333	0.19180423	0.17543748	0.24207576	0.24909683	0.20509872	0.25890076	0.22886199	0.22275619	0.24715632	0.2518158	0.27947322	0.2848758	0.3402097
BLS12_m1.fastq	0.19578771	0.19209135	0.2142518	0.1942846	0.21200919	0.17302556	0.2008855	0.21309537	-0	0.1928732	0.23350906	0.18496023	0.19351758	0.1791538	0.1926418	0.1680642	0.18183443	0.1889116	0.18335654	0.22731437	0.19099578	0.1895356	0.20578502	0.18745776	0.18310279	0.20362055	0.21143568	0.19178115	0.19472459	0.19998088	0.19122712	0.21367057	0.21759075	0.19910744	0.19115055	0.19305022	0.18224886	0.19087699	0.20710453	0.19799659	0.17360698	0.23759057	0.20199785	0.18887243	0.19354	0.21249609	0.17450598	0.20308647	0.2004631	0.16804618	0.22257942	0.19176029	0.19001627	0.19331338	0.19325773	0.19783883	0.18368141	0.17508022	0.19541083	0.17095934	0.17838201	0.1851477	0.17784148	0.1979553	0.16745315	0.1509606	0.16721734	0.19361629	0.1846595	0.17196229	0.17629099	0.17475018	0.19193201	0.14831421	0.16767877	0.19243446	0.17814222	0.16443308	0.30029392	0.21413355	0.19790962	0.2263071	0.2268737	0.19628932	0.23343559	0.21017738	0.22087657	0.22129232	0.20830925	0.20803142	0.20853524	0.25687256
BLS13_2.fastq	0.18137197	0.21419299	0.14995515	0.1805318	0.18380749	0.20812194	0.16702119	0.17473747	0.1928732	-0	0.19957384	0.20174183	0.1714009	0.19373982	0.17268027	0.19353189	0.18301344	0.15377614	0.21419372	0.19047715	0.17760475	0.15872686	0.19948764	0.18144226	0.17827982	0.1720258	0.15871914	0.19793667	0.16533704	0.16352244	0.17841268	0.16151349	0.16838616	0.17021698	0.17681526	0.15667316	0.1705147	0.19234079	0.17997146	0.16236585	0.19626404	0.16548158	0.16364332	0.1960438	0.18089597	0.17534861	0.19894736	0.16401407	0.19665793	0.21725781	0.17135239	0.19936088	0.18298362	0.17505997	0.17567557	0.15337797	0.17588887	0.1745801	0.13866171	0.18946669	0.19000241	0.18674129	0.17235507	0.18445355	0.18914118	0.18360294	0.18924865	0.24327916	0.19609234	0.19305708	0.21283093	0.19907159	0.17185533	0.18360834	0.1683874	0.20261131	0.20509318	0.18758062	0.2939302	0.20207945	0.18951239	0.24475786	0.21694747	0.18589069	0.18603003	0.24054414	0.22017294	0.22009522	0.199404	0.21742791	0.27937323	0.29001406
