Sources	BLS10_2_phage_scaffolds_rijen21.fasta	BLS10_7_phage_scaffolds_rijen21.fasta	BLS10_m1_phage_scaffolds_rijen21.fasta	BLS11_2_phage_scaffolds_rijen21.fasta	BLS11_7_phage_scaffolds_rijen21.fasta	BLS11_m1_phage_scaffolds_rijen21.fasta	BLS12_2_phage_scaffolds_rijen21.fasta	BLS12_7_phage_scaffolds_rijen21.fasta	BLS12_m1_phage_scaffolds_rijen21.fasta	BLS13_2_phage_scaffolds_rijen21.fasta	BLS13_7_phage_scaffolds_rijen21.fasta	BLS13_m1_phage_scaffolds_rijen21.fasta	BLS1_2_phage_scaffolds_rijen21.fasta	BLS1_7_phage_scaffolds_rijen21.fasta	BLS1_m1_phage_scaffolds_rijen21.fasta	BLS2_2_phage_scaffolds_rijen21.fasta	BLS2_7_phage_scaffolds_rijen21.fasta	BLS2_m1_phage_scaffolds_rijen21.fasta	BLS3_2_phage_scaffolds_rijen21.fasta	BLS3_7_phage_scaffolds_rijen21.fasta	BLS3_m1_phage_scaffolds_rijen21.fasta	BLS4_2_phage_scaffolds_rijen21.fasta	BLS4_7_phage_scaffolds_rijen21.fasta	BLS4_m1_phage_scaffolds_rijen21.fasta	BLS5_2_phage_scaffolds_rijen21.fasta	BLS5_7_phage_scaffolds_rijen21.fasta	BLS5_m1_phage_scaffolds_rijen21.fasta	BLS6_2_phage_scaffolds_rijen21.fasta	BLS6_7_phage_scaffolds_rijen21.fasta	BLS6_m1_phage_scaffolds_rijen21.fasta	BLS7_2_phage_scaffolds_rijen21.fasta	BLS7_7_phage_scaffolds_rijen21.fasta	BLS7_m1_phage_scaffolds_rijen21.fasta	BLS8_2_phage_scaffolds_rijen21.fasta	BLS8_7_phage_scaffolds_rijen21.fasta	BLS8_m1_phage_scaffolds_rijen21.fasta	BLS9_2_phage_scaffolds_rijen21.fasta	BLS9_7_phage_scaffolds_rijen21.fasta	BLS9_m1_phage_scaffolds_rijen21.fasta	BSN10_2_phage_scaffolds_rijen21.fasta	BSN10_7_phage_scaffolds_rijen21.fasta	BSN10_m1_phage_scaffolds_rijen21.fasta	BSN11_2_phage_scaffolds_rijen21.fasta	BSN11_7_phage_scaffolds_rijen21.fasta	BSN11_m1_phage_scaffolds_rijen21.fasta	BSN12_2_phage_scaffolds_rijen21.fasta	BSN12_7_phage_scaffolds_rijen21.fasta	BSN12_m1_phage_scaffolds_rijen21.fasta	BSN13_2_phage_scaffolds_rijen21.fasta	BSN13_7_phage_scaffolds_rijen21.fasta	BSN13_m1_phage_scaffolds_rijen21.fasta	BSN1_2_phage_scaffolds_rijen21.fasta	BSN1_7_phage_scaffolds_rijen21.fasta	BSN1_m1_phage_scaffolds_rijen21.fasta	BSN2_2_phage_scaffolds_rijen21.fasta	BSN2_7_phage_scaffolds_rijen21.fasta	BSN2_m1_phage_scaffolds_rijen21.fasta	BSN3_2_phage_scaffolds_rijen21.fasta	BSN3_7_phage_scaffolds_rijen21.fasta	BSN3_m1_phage_scaffolds_rijen21.fasta	BSN4_2_phage_scaffolds_rijen21.fasta	BSN4_7_phage_scaffolds_rijen21.fasta	BSN4_m1_phage_scaffolds_rijen21.fasta	BSN5_2_phage_scaffolds_rijen21.fasta	BSN5_7_phage_scaffolds_rijen21.fasta	BSN5_m1_phage_scaffolds_rijen21.fasta	BSN6_2_phage_scaffolds_rijen21.fasta	BSN6_7_phage_scaffolds_rijen21.fasta	BSN6_m1_phage_scaffolds_rijen21.fasta	BSN7_2_phage_scaffolds_rijen21.fasta	BSN7_7_phage_scaffolds_rijen21.fasta	BSN7_m1_phage_scaffolds_rijen21.fasta	BSN8_2_phage_scaffolds_rijen21.fasta	BSN8_7_phage_scaffolds_rijen21.fasta	BSN8_m1_phage_scaffolds_rijen21.fasta	BSN9_2_phage_scaffolds_rijen21.fasta	BSN9_7_phage_scaffolds_rijen21.fasta	BSN9_m1_phage_scaffolds_rijen21.fasta	INF10_phage_scaffolds_rijen21.fasta	INF1_phage_scaffolds_rijen21.fasta	INF2_phage_scaffolds_rijen21.fasta	INF3_phage_scaffolds_rijen21.fasta	INF4_phage_scaffolds_rijen21.fasta	INF5_phage_scaffolds_rijen21.fasta	INF6_phage_scaffolds_rijen21.fasta	INF7_phage_scaffolds_rijen21.fasta	INF8_phage_scaffolds_rijen21.fasta	INF9_phage_scaffolds_rijen21.fasta	X3_STUF_phage_scaffolds_rijen21.fasta	X4_STUF_phage_scaffolds_rijen21.fasta	X5_STRA_phage_scaffolds_rijen21.fasta	X6_STRA_phage_scaffolds_rijen21.fasta
BLS10_2_phage_scaffolds_rijen21.fasta	-0	0.045395583	0.055799015	0.028590709	0.068669714	0.05425914	0.033881605	0.08734882	0.051825672	0.05147899	0.08711553	0.049888212	0.061264846	0.049011253	0.027404362	0.046103094	0.06055792	0.033050716	0.057352643	0.084147625	0.054885644	0.06949687	0.063112766	0.04235541	0.0671424	0.054059435	0.06881924	0.064597905	0.064984486	0.040938538	0.037699293	0.056319203	0.06452503	0.032320302	0.04234696	0.045672994	0.028124377	0.036558527	0.059526723	0.038349286	0.057761423	0.065241836	0.031887896	0.05982491	0.042633127	0.07277015	0.04962259	0.026067777	0.04845724	0.05492762	0.034249175	0.053470615	0.039505545	0.0465151	0.057204068	0.030905617	0.03439759	0.05972413	0.045001443	0.044307645	0.055929884	0.0463027	0.05600337	0.063756704	0.046287984	0.060378287	0.04984663	0.046618924	0.049609832	0.05124551	0.056229807	0.047788538	0.05043654	0.058868296	0.06313035	0.027800735	0.057023913	0.048990164	0.08692158	0.13217963	0.10199798	0.09550323	0.1060459	0.10946974	0.098391056	0.11786765	0.12698963	0.09703201	0.058898337	0.05742755	0.07111558	0.07640647
BLS10_7_phage_scaffolds_rijen21.fasta	0.045395583	-0	0.05649621	0.05242385	0.05810403	0.055154145	0.04686959	0.07188479	0.049044114	0.04955899	0.07263885	0.053916026	0.05262573	0.050939176	0.047035906	0.044466216	0.053668067	0.047199085	0.060373172	0.068750575	0.052099872	0.059035312	0.047844082	0.04997545	0.056831658	0.04814113	0.052610718	0.059581436	0.054371633	0.049342804	0.04942826	0.06946123	0.024262384	0.04085382	0.03791345	0.040897597	0.04568813	0.04045738	0.055456035	0.048165902	0.052408535	0.053756937	0.04485906	0.04432859	0.052869905	0.07484912	0.053862263	0.04109485	0.05707511	0.04542549	0.04491319	0.052235764	0.034855723	0.044097926	0.041300558	0.044239245	0.043864552	0.060218018	0.02400416	0.046242006	0.039017946	0.05162306	0.056164645	0.053076096	0.04719543	0.04476293	0.049228873	0.052296404	0.053512394	0.04419269	0.055067163	0.048808474	0.04696079	0.051008265	0.04431311	0.040204246	0.055795815	0.051961526	0.07828832	0.11946288	0.09257269	0.09567996	0.09327965	0.083428554	0.080961846	0.07238667	0.10738337	0.110469885	0.061187603	0.06655806	0.077197716	0.08731743
BLS10_m1_phage_scaffolds_rijen21.fasta	0.055799015	0.05649621	-0	0.056842793	0.056169413	0.06308541	0.05317781	0.061722584	0.067914754	0.044189468	0.07828222	0.07330775	0.06488796	0.06832768	0.049629852	0.06651627	0.068877526	0.05076886	0.07775722	0.07916047	0.063954204	0.07448526	0.06604574	0.06284942	0.054421425	0.07596861	0.05502839	0.060255107	0.07410907	0.051233254	0.05633977	0.06948157	0.05453357	0.060011096	0.060738828	0.03131353	0.04917032	0.05837998	0.029116623	0.059860628	0.08087586	0.042679954	0.047166456	0.07334386	0.060301635	0.07070708	0.07476895	0.056488074	0.07356726	0.075936936	0.059234258	0.08048584	0.048712768	0.033433963	0.07093395	0.04831828	0.0389404	0.07703503	0.04580288	0.064564474	0.066161886	0.06376849	0.059074577	0.06843355	0.065437414	0.06259249	0.06470692	0.079445295	0.06609139	0.07283775	0.06933115	0.075864725	0.06416626	0.063912705	0.060252868	0.05595435	0.0770116	0.06415965	0.09341278	0.20472166	0.09227989	0.11469774	0.10475647	0.09605194	0.0944164	0.10625215	0.13475321	0.116615094	0.06250905	0.06755503	0.09220555	0.104201205
BLS11_2_phage_scaffolds_rijen21.fasta	0.028590709	0.05242385	0.056842793	-0	0.077790484	0.05899694	0.037363086	0.08533146	0.057439912	0.048084006	0.10375073	0.043874837	0.06337021	0.060963493	0.04665479	0.050397728	0.06553602	0.02041081	0.054011934	0.087422766	0.03780797	0.07328878	0.06878305	0.049608532	0.072525404	0.06313196	0.07195996	0.06375666	0.071438394	0.038961228	0.042502847	0.07155585	0.06724175	0.043721877	0.049828786	0.04978407	0.03611313	0.039589345	0.06558527	0.047759246	0.06685017	0.06244919	0.043233823	0.058125	0.04816638	0.06627054	0.048908915	0.03258894	0.050112285	0.057132065	0.041817088	0.058077455	0.04358829	0.0503934	0.063281186	0.037648417	0.04232227	0.061741095	0.046696503	0.04781553	0.059949804	0.0500378	0.05876857	0.06521878	0.047662236	0.05866671	0.060597245	0.0542689	0.045864344	0.05834714	0.06025524	0.054715134	0.059143856	0.05244392	0.059137344	0.041584346	0.051043496	0.049552232	0.08354642	0.13087547	0.10649275	0.1021097	0.09865804	0.111621	0.1015523	0.1146548	0.12606181	0.119816676	0.059082087	0.050221745	0.06959835	0.07498713
BLS11_7_phage_scaffolds_rijen21.fasta	0.068669714	0.05810403	0.056169413	0.077790484	-0	0.08145842	0.07792344	0.056993306	0.077370875	0.061463844	0.06356202	0.072255544	0.065704964	0.0761827	0.06246474	0.07934222	0.06640784	0.06983259	0.08897027	0.06698772	0.07483703	0.06361801	0.07159662	0.07769725	0.065383695	0.06358179	0.044999994	0.06189854	0.07864837	0.059161786	0.06890325	0.07363801	0.06904465	0.0645076	0.06383312	0.041265536	0.056999516	0.060034253	0.051015843	0.05527731	0.071012974	0.05695456	0.05801065	0.07830682	0.071733765	0.056509104	0.07057425	0.060025726	0.08873981	0.08520518	0.063531615	0.07812006	0.061214432	0.04958994	0.0627934	0.06408193	0.058630794	0.07238796	0.06059974	0.06837903	0.07205099	0.06665371	0.07393274	0.06425991	0.08254349	0.06663901	0.067324154	0.07504627	0.06899286	0.07328941	0.08359038	0.07854089	0.060591727	0.06619809	0.069037974	0.064919755	0.07552989	0.068545744	0.10136899	0.13697122	0.10741775	0.13173491	0.12648933	0.10125635	0.09720184	0.13044392	0.12235478	0.14685336	0.090977676	0.096352346	0.09869693	0.12207627
BLS11_m1_phage_scaffolds_rijen21.fasta	0.05425914	0.055154145	0.06308541	0.05899694	0.08145842	-0	0.06402554	0.07865979	0.040480882	0.07023241	0.08590845	0.048923314	0.050205424	0.053195715	0.054000344	0.050121207	0.05517576	0.05867361	0.060397238	0.06874395	0.06466571	0.07304845	0.061546456	0.056176543	0.060414895	0.05434188	0.07175955	0.05680179	0.057094187	0.062162552	0.06409566	0.052058227	0.06787037	0.05512903	0.06763611	0.0677932	0.057849847	0.055082206	0.06567517	0.05500328	0.049659126	0.07670209	0.050050676	0.060069386	0.06540883	0.078571804	0.04688053	0.054916646	0.06290827	0.05040399	0.05513056	0.04601708	0.057972502	0.07133373	0.062379416	0.060647264	0.05905465	0.058615178	0.06141826	0.045690462	0.051604174	0.04637288	0.02912385	0.05081466	0.046257287	0.04718302	0.049654763	0.04893881	0.050151978	0.053596597	0.018441994	0.04588228	0.057999894	0.04598554	0.051669568	0.052087117	0.0548862	0.052170996	0.073079824	0.14891866	0.09643602	0.07336989	0.08313064	0.10013909	0.10568532	0.1003166	0.12739033	0.09253587	0.06503315	0.074193336	0.0939545	0.09480954
BLS12_2_phage_scaffolds_rijen21.fasta	0.033881605	0.04686959	0.05317781	0.037363086	0.07792344	0.06402554	-0	0.08393698	0.055409886	0.045999173	0.1037758	0.060647443	0.061296698	0.06360256	0.047415957	0.04852814	0.07652557	0.04254006	0.06234618	0.08686348	0.040460717	0.07224574	0.062019255	0.048442043	0.07451892	0.06388323	0.059146255	0.06557947	0.06931649	0.0431184	0.047632366	0.07246411	0.06349173	0.055851683	0.049186517	0.043184184	0.03947269	0.048212264	0.06536029	0.055722553	0.06227715	0.06121856	0.040442508	0.0625599	0.05304058	0.07611006	0.053188115	0.042173482	0.037876498	0.06483999	0.04048269	0.06171317	0.03880916	0.043999653	0.06995062	0.038085464	0.04261112	0.05848986	0.041912824	0.050963685	0.06174124	0.050562695	0.06731254	0.07080911	0.048447467	0.06303627	0.057800382	0.061824277	0.052418537	0.06540816	0.058768593	0.05768394	0.06567516	0.05997308	0.061565783	0.041934345	0.059252977	0.050549656	0.090896904	0.13614777	0.10416716	0.10451046	0.1032502	0.09577028	0.09659434	0.09402074	0.13590305	0.122716285	0.057236392	0.04973602	0.08260296	0.086999014
BLS12_7_phage_scaffolds_rijen21.fasta	0.08734882	0.07188479	0.061722584	0.08533146	0.056993306	0.07865979	0.08393698	-0	0.086442135	0.057869706	0.047876634	0.08899712	0.064165436	0.09339589	0.06822708	0.0877153	0.07994125	0.06786438	0.122973695	0.08945544	0.08304272	0.06966247	0.07868455	0.08251985	0.07776027	0.07137188	0.045634475	0.07023175	0.07033143	0.0724416	0.098821834	0.06344739	0.070897534	0.06628403	0.077091716	0.06387705	0.063423805	0.075107746	0.04651509	0.06726125	0.07705162	0.043254722	0.07703058	0.0810019	0.07993213	0.047662564	0.07427525	0.07469295	0.10425475	0.10210538	0.07958683	0.0842549	0.07197233	0.05967031	0.083868414	0.07213247	0.07082147	0.07949225	0.06848221	0.06858439	0.0869614	0.07366492	0.06783289	0.073623456	0.08230311	0.071644	0.07658988	0.09832168	0.08036992	0.07739236	0.09240798	0.08748156	0.07249366	0.08333952	0.068909325	0.06778972	0.07073284	0.06651203	0.09907064	0.20264372	0.08171778	0.14320476	0.1472841	0.11504173	0.14157054	0.13177086	0.13682093	0.1149977	0.10933074	0.11563067	0.15331575	0.14668539
BLS12_m1_phage_scaffolds_rijen21.fasta	0.051825672	0.049044114	0.067914754	0.057439912	0.077370875	0.040480882	0.055409886	0.086442135	-0	0.05854443	0.092990555	0.043631174	0.04955931	0.041462973	0.05413534	0.039096713	0.050354693	0.057128303	0.050322	0.070393674	0.05664018	0.046891753	0.04786543	0.049385663	0.051697608	0.045913957	0.07789083	0.05780246	0.052184157	0.07366245	0.050252773	0.0638197	0.07117476	0.05705282	0.057770308	0.056447055	0.050085448	0.06377146	0.07347771	0.05114678	0.039947383	0.07994959	0.050477285	0.05212636	0.055302586	0.06974438	0.03931679	0.057274915	0.059512507	0.038508255	0.058658626	0.038481254	0.052699964	0.060765557	0.05561215	0.069919705	0.054828312	0.049169444	0.05288456	0.035855684	0.040549688	0.045687903	0.035211593	0.048545733	0.038854733	0.021787839	0.044296682	0.04191616	0.042037915	0.04209027	0.03735307	0.038913142	0.05141229	0.025566557	0.039633635	0.05325132	0.046327602	0.04177891	0.082867384	0.14803898	0.09802476	0.08680652	0.080253445	0.07896095	0.08341562	0.082182094	0.11080608	0.10780751	0.06912598	0.07146703	0.07582599	0.08875741
BLS13_2_phage_scaffolds_rijen21.fasta	0.05147899	0.04955899	0.044189468	0.048084006	0.061463844	0.07023241	0.045999173	0.057869706	0.05854443	-0	0.09165774	0.06279601	0.055257235	0.06593658	0.050216187	0.059428263	0.071703106	0.03743767	0.08211924	0.06658849	0.06099551	0.05222882	0.055836238	0.0438617	0.068120666	0.052098718	0.04663786	0.063139364	0.064872146	0.051185	0.053764135	0.047909986	0.047717594	0.049049623	0.056021173	0.04586781	0.037077803	0.059187625	0.05702728	0.044610757	0.066735476	0.04782539	0.043156873	0.06733032	0.052830778	0.05249212	0.06140941	0.044607736	0.07708345	0.073998004	0.049502585	0.058786865	0.04798088	0.04959316	0.0533399	0.039748594	0.05511019	0.060250696	0.03419113	0.0536567	0.06206457	0.05969539	0.053621292	0.05833246	0.062813796	0.055509873	0.07043462	0.067686394	0.05258036	0.06671481	0.07039781	0.065771736	0.051480126	0.052557576	0.05206361	0.044074375	0.06476539	0.051867753	0.09260485	0.13346998	0.08250109	0.11487642	0.09564112	0.08789904	0.0802986	0.09879245	0.1304921	0.11673779	0.07510528	0.07300134	0.10809148	0.11841292
